"Ideal parameters for the ground 
truth datasets, found via grid search.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Datasets are deposited at: 
https://github.com/HelmchenLabSoftware/Cascade,,,,,,,,,,,,,,,,,,,,,,,,,,
Questions or comments? 
p.t.r.rupprecht+cascade@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOISE LEVEL 2,,DS01,DS02,DS04,DS05,DS06,DS07,DS08,DS09,DS010,DS011,DS012,DS013,DS014,DS015,DS016,DS017,DS018,DS019,DS020,DS021,DS022,DS023,DS024,DS025,DS026
,,,,,,,,,,,,,,,,,,,,,,,,,,
MLSpike,tau,0.100,1.969,1.500,4.000,2.000,2.000,1.222,1.000,0.750,0.760,3.667,2.000,1.000,1.500,0.750,0.833,1.063,1.250,2.500,0.405,1.620,2.157,0.200,0.200,0.200
,amplitude,0.350,0.350,0.191,0.010,0.090,0.242,0.030,0.250,0.161,0.130,0.350,0.350,0.250,0.030,0.010,0.083,0.070,0.106,0.086,0.246,0.350,0.179,0.013,0.029,0.055
,,,,,,,,,,,,,,,,,,,,,,,,,,
Peeling,tau,0.636,0.250,1.017,2.375,2.375,2.100,2.000,0.932,0.804,0.530,2.417,2.981,0.932,2.444,1.111,1.500,1.125,0.528,1.944,0.500,0.400,0.286,2.039,1.853,1.125
,amplitude,7.273,31.562,16.000,35.000,31.875,35.000,8.333,28.636,35.000,29.400,35.000,35.000,28.636,15.556,14.444,20.000,18.750,18.889,10.556,35.000,10.000,2.500,2.500,8.824,9.375
,,,,,,,,,,,,,,,,,,,,,,,,,,
CaImAn,gamma,0.020,0.020,0.025,0.740,0.803,0.818,0.189,0.418,0.554,0.113,0.773,0.817,0.418,0.622,0.042,0.504,0.320,0.020,0.162,0.020,0.188,0.020,0.020,0.069,0.020
,,,,,,,,,,,,,,,,,,,,,,,,,,
Suite2p,sig_baseline,0.250,32.500,20.667,33.750,0.250,0.250,0.250,4.318,0.250,0.310,2.125,0.250,4.318,0.250,0.250,0.361,0.250,2.500,4.722,4.091,4.600,0.250,0.250,0.250,0.250
,gamma,0.025,0.219,0.100,0.675,0.675,0.690,0.092,0.200,0.283,0.100,0.550,0.792,0.200,0.300,0.050,0.200,0.181,0.025,0.122,0.039,0.025,0.025,0.025,0.029,0.025
,,,,,,,,,,,,,,,,,,,,,,,,,,
Jewell et al.,penalty,0.004,0.020,0.050,0.084,0.007,0.016,0.004,0.050,0.010,0.015,0.040,0.020,0.050,0.007,0.004,0.010,0.004,0.019,0.032,0.055,0.006,0.001,0.003,0.003,0.004
,gamma,0.473,0.706,0.700,0.850,0.950,0.920,0.656,0.509,0.800,0.718,0.800,0.900,0.509,0.900,0.711,0.800,0.913,0.589,0.789,0.232,0.240,0.100,0.181,0.565,0.400
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOISE LEVEL 9,,DS01,DS02,DS04,DS05,DS06,DS07,DS08,DS09,DS010,DS011,DS012,DS013,DS014,DS015,DS016,DS017,DS018,DS019,DS020,DS021,DS022,DS023,DS024,DS025,DS27
,,,,,,,,,,,,,,,,,,,,,,,,,,
MLSpike,tau,0.100,0.113,2.000,2.625,1.938,2.900,1.722,1.477,0.750,0.500,1.292,1.500,1.477,1.500,1.500,0.972,1.063,1.889,2.500,0.432,0.100,0.100,0.350,0.359,0.100
,amplitude,0.350,0.350,0.350,0.265,0.030,0.158,0.083,0.350,0.160,0.288,0.350,0.227,0.350,0.030,0.030,0.072,0.320,0.348,0.226,0.301,0.350,0.350,0.030,0.031,0.070
,,,,,,,,,,,,,,,,,,,,,,,,,,
Peeling,tau,0.364,4.938,0.500,2.250,2.000,2.500,2.278,0.886,1.000,1.000,2.417,3.000,0.886,2.389,1.000,1.722,1.625,0.500,2.056,0.500,3.250,2.429,2.077,1.588,1.000
,amplitude,19.091,35.000,29.333,35.000,34.375,35.000,8.333,33.182,35.000,20.000,35.000,35.000,33.182,15.556,13.056,19.444,14.375,18.889,15.000,33.182,33.000,3.571,2.500,9.412,10.000
,,,,,,,,,,,,,,,,,,,,,,,,,,
CaImAn,gamma,0.245,0.760,0.020,0.715,0.783,0.816,0.176,0.538,0.553,0.146,0.777,0.845,0.538,0.591,0.020,0.500,0.320,0.020,0.113,0.020,0.320,0.129,0.020,0.055,0.020
,,,,,,,,,,,,,,,,,,,,,,,,,,
Suite2p,sig_baseline,5.455,50.000,30.000,45.000,4.375,3.000,0.361,50.000,3.478,5.200,3.833,0.962,50.000,1.500,0.306,17.222,1.125,18.571,18.889,29.091,34.000,0.250,0.250,0.632,0.563
,gamma,0.025,2.894,0.513,1.225,0.800,1.030,0.183,0.645,0.374,0.200,1.133,1.327,0.645,0.389,0.111,0.256,0.288,0.214,0.600,0.095,1.540,0.029,0.025,0.057,0.025
,,,,,,,,,,,,,,,,,,,,,,,,,,
Jewell et al.,penalty,0.025,0.250,0.250,0.563,0.119,0.250,0.030,0.250,0.100,0.100,0.225,0.181,0.250,0.100,0.025,0.100,0.059,0.100,0.250,0.114,0.150,0.000,0.003,0.020,0.010
,gamma,0.100,0.900,0.350,0.725,0.800,0.800,0.117,0.500,0.248,0.190,0.700,0.746,0.500,0.667,0.161,0.500,0.463,0.264,0.567,0.100,0.510,0.229,0.100,0.100,0.100
